content_id,video_title,publish_date,duration_sec,avg_view_duration,avg_perct_viewed,subs_gained,subs_lost,likes,comments,views,watch_time_hrs,subscribers,impressions,ctr,conversion_rate,month_year,engagement_rate
ysRCxEyeDpI,Akki Rotti in 59secs ✨#healthierecipes24 #akkirotti #shorts,2025-11-21,59.0,20.0,35.05,0,0,16,0,1760,3.726,0,517,3.29,0.0,2025-11,0.91
uvMioAwuQP0,Ragda Pattice✨#shorts #food #streetfood #foryou #badshahobadshah #song,2024-04-13,57.0,19.0,34.2,0,0,11,1,532,2.8654,0,884,0.9,0.0,2024-04,2.26
QD5pXAXWnxY,Toast✨ #recipe #food #easyrecipe #healthierecipes24 #cheese #toast #shorts,2025-08-17,30.0,13.0,44.69,1,0,13,0,1315,2.3123,1,391,2.05,0.0760456273764258,2025-08,0.99
xUFxnVXuZZw,✨Easy millets kheer #healthyfood #food #habitbuilder #shorts recipe,2024-08-21,52.0,19.0,37.21,2,0,17,0,561,2.8885,2,874,4.35,0.35650623885918,2024-08,3.03
8hS6Pxhv3AE,Crunchy Fried Modak #ganeshchaturthi #healthierecipes24 #food #modak,2025-08-28,57.0,14.0,24.58,1,0,13,1,1545,2.4411,1,476,2.73,0.0647249190938511,2025-08,0.91
byTI_g--YsQ,Crunchy Green Salad#healthierecipes24 #crunchy #salad #greens #vegan #shorts,2025-12-09,32.0,23.0,72.62,2,0,24,2,2009,4.1732,2,881,3.18,0.0995520159283225,2025-12,1.29
aA-1q3mplho,Fruit Melon?✨ #shortsyt #ytshots #foodshorts #summershorts,2024-04-06,58.0,16.0,28.45,0,0,19,0,515,2.356,0,229,6.55,0.0,2024-04,3.69
qDkS7OEwD5Y,Coconut puri✨🤌🏻#breakfast#shorts #breakfastrecipe#instantbreakfast,2024-10-15,60.0,37.0,62.12,1,0,10,0,521,5.3345,1,2606,2.11,0.1919385796545105,2024-10,1.92
apygR9BSDto,Aam coco chutney✨🤌🏻 #healthierecipes24 #quickrecipe #food #30sec,2025-06-01,31.0,16.0,53.49,2,0,11,0,3450,3.4533,2,735,1.22,0.0579710144927536,2025-06,0.32
4ZKfjga9kM4,"Chaatlicious🌱🥗✨|Snack Time, Sorted! #shorts #chaat #healthy",2024-01-10,24.0,15.0,65.27,3,1,10,0,512,2.2157,2,500,2.0,0.5859375,2024-01,1.95
