Content,Video title,Video publish time,Duration,Average view duration,Average percentage viewed (%),Unique viewers,Subscribers gained,Subscribers lost,Likes,Comments added,Views,Watch time (hours),Subscribers,Impressions,Impressions click-through rate (%)
Xb-qJE3UIAc,Benefits of eating Radish#healthierecipes24 #radish #food #viralvideo #shorts,"Feb 5, 2025",55,0:00:33,60.35,,3,0,45,0,1963,14.4009,3,6105,5.13
fnJPDW38U64,Healthy Sprouts salad 🥗✨#shorts #johnabraham #sproutssalad #shortsvideo #viralvideo,"Nov 21, 2024",45,0:00:18,41.23,,2,1,20,1,1433,7.2799,1,3927,2.37
RiocQJXuTEo,✨Tripti Dimri's fav Garhwali food|This is so yummy😋✨🍛#food #cooking #recipe #triptidimri #shorts,"Oct 18, 2024",50,0:00:29,58.18,,3,0,38,0,1729,11.576,3,14923,3.33
5rmDsbAocPs,♥️South Star Keerti Suresh's green juice Recipe✨#shorts #keerthysuresh #southindian #skin,"Oct 26, 2024",27,0:00:22,82.07,,1,0,49,0,1660,8.9244,1,9205,4.32
e0v8ZTsYn1M,Spinach Pockets ✨#healthierecipes24 #palak #palakpockets #recipe #shorts #spinachpockets,"Dec 1, 2025",60,0:00:34,58.14,,2,0,61,2,3196,14.3445,2,1596,2.57
_kp7NQ5NP8c,Title Says it all #belagavi #baobuns #food #healthierecipes24 #shorts,"Aug 26, 2025",60,0:00:27,45.96,,4,0,33,0,2701,10.8688,4,3087,1.04
z2zYku_R-k0,Why SRK is the Coolest Man Alive#shorts,"Nov 4, 2024",22,0:00:16,74.62,,0,0,16,0,1308,5.8752,0,5911,2.28
ZMvl0TF4614,Healthy benefits of Tomato #shorts #tomato #food #healthyfood,"Dec 17, 2024",33,0:00:22,67.85,,0,0,21,0,1307,7.9033,0,2446,2.58
_3ig8q7h5FE,Gukesh is the youngest World Chess Champion#gukesh #chess #worldchesschampionship #food,"Dec 23, 2024",32,0:00:16,50.53,,2,0,30,0,1395,5.8414,2,3756,4.5
VStwS4-PKBY,🇮🇳Tricolour Simple Recipe🇮🇳#republicday #jaihind #healthierecipes24 #tricolor #shorts,"Jan 24, 2025",30,0:00:11,37.37,,1,0,17,0,1251,3.8726,1,2285,2.14
TL7b5My1Z8g,Vivek Oberoi and his Dubai life #vivekoberoi #dubai #bisibelebath #shorts,"Dec 14, 2024",60,0:00:22,37.23,,3,0,21,0,1298,7.7478,3,3756,4.42
